cID,bID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,7
9,8
10,1
11,9
12,10
13,11
14,12
15,13
16,1
17,14
18,15
19,12
20,16
21,17
22,18
23,19
24,13
25,4
26,20
27,21
28,22
29,23
30,24
31,25
32,26
33,27
34,28
35,29
36,30
37,31
38,11
39,32
40,19
41,33
42,22
43,34
44,35
45,36
46,36
47,37
48,1
49,38
50,11
51,6
52,25
53,21
54,11
55,39
56,40
57,22
58,14
59,41
60,24
61,42
62,38
63,5
64,43
65,38
66,2
67,44
68,35
69,11
70,40
71,44
72,45
73,46
74,47
75,34
76,5
77,48
78,7
79,28
80,14
81,22
82,4
83,30
84,46
85,24
86,44
87,49
88,50
89,51
90,23
91,35
92,2
93,52
94,45
95,53
96,21
97,54
98,36
99,28
100,55
101,30
102,13
103,40
104,39
105,20
106,56
107,27
108,24
109,57
110,37
111,13
112,6
113,58
114,45
115,59
116,9
117,58
118,31
119,60
120,11
121,57
122,11
123,10
124,46
125,1
126,61
127,11
128,53
129,59
130,12
131,10
132,39
133,52
134,1
135,15
136,55
137,37
138,13
139,62
140,62
141,47
142,4
143,39
144,48
145,61
146,32
147,63
148,62
149,58
150,53
151,42
152,37
153,4
154,6
155,42
156,36
157,31
158,61
159,25
160,23
161,59
162,5
163,1
164,19
165,35
166,54
167,64
168,48
169,13
170,37
171,58
172,47
173,42
174,6
175,26
176,40
177,54
178,29
179,7
180,49
181,43
182,41
183,60
184,32
185,40
186,54
187,58
188,40
189,21
190,29
191,7
192,3
193,24
194,36
195,24
196,46
197,65
198,33
199,59
200,63
201,33
202,19
203,66
204,39
205,23
206,49
207,21
208,52
209,40
210,54
211,12
212,48
213,49
214,11
215,56
216,38
217,26
218,43
219,67
220,60
221,60
222,68
223,26
224,63
225,66
226,69
227,46
228,12
229,44
230,24
231,70
232,60
233,35
234,62
235,23
236,45
237,38
238,6
239,55
240,7
241,61
242,3
243,69
244,41
245,28
246,18
247,38
248,55
249,58
250,37
251,9
252,71
253,58
254,7
255,42
256,12
257,16
258,2
259,33
260,9
261,64
262,19
263,40
264,17
265,72
266,33
267,69
268,38
269,11
270,55
271,49
272,60
273,7
274,63
275,62
276,32
277,64
278,19
279,55
280,14
281,57
282,56
283,9
284,33
285,54
286,68
287,69
288,59
289,60
290,43
291,11
292,28
293,20
294,42
295,9
296,38
297,73
298,59
299,49
300,66
301,25
302,68
303,17
304,74
305,48
306,8
307,59
308,34
309,9
310,59
311,7
312,22
313,60
314,73
315,31
316,17
317,34
318,45
319,75
320,32
321,45
322,18
323,62
324,11
325,42
326,37
327,38
328,47
329,62
330,48
331,46
332,21
333,17
334,44
335,50
336,64
337,58
338,57
339,43
340,30
341,7
342,22
343,37
344,34
345,70
346,34
347,74
348,7
349,36
350,21
351,1
352,25
353,4
354,22
355,58
356,13
357,26
358,71
359,74
360,48
361,68
362,9
363,45
364,66
365,63
366,35
367,42
368,61
369,60
370,33
371,42
372,73
373,2
374,18
375,76
376,4
377,24
378,13
379,35
380,59
381,73
382,42
383,10
384,46
385,34
386,60
387,48
388,50
389,74
390,69
391,11
392,74
393,5
394,43
395,26
396,17
397,26
398,59
399,17
400,2
401,33
402,25
403,44
404,11
405,26
406,11
407,37
408,45
409,25
410,45
411,51
412,1
413,2
414,21
415,34
416,25
417,15
418,22
419,5
420,40
421,75
422,30
423,26
424,56
425,37
426,13
427,9
428,47
429,60
430,21
431,74
432,21
433,62
434,26
435,62
436,45
437,32
438,10
439,32
440,77
441,13
442,26
443,32
444,62
445,48
446,45
447,16
448,73
449,43
450,57
451,53
452,46
453,48
454,60
455,54
456,23
457,77
458,11
459,69
460,35
461,59
462,16
463,23
464,18
465,2
466,46
467,11
468,9
469,72
470,24
471,58
472,28
473,19
474,13
475,24
476,44
477,50
478,44
479,44
480,71
481,30
482,10
483,56
484,50
485,27
486,43
487,38
488,53
489,70
490,34
491,39
492,63
493,33
494,25
495,16
496,69
497,10
498,39
499,77
500,13
501,13
502,2
503,34
504,39
505,58
506,38
507,24
508,16
509,71
510,17
511,76
512,52
513,9
514,24
515,54
516,77
517,52
518,2
519,32
520,4
521,26
522,4
523,24
524,25
525,42
526,25
527,60
528,56
529,51
530,55
531,58
532,5
533,15
534,24
535,67
536,52
537,23
538,62
539,12
540,19
541,23
542,46
543,65
544,14
545,26
546,13
547,61
548,62
549,50
550,40
551,63
552,72
553,73
554,55
555,23
556,18
557,36
558,70
559,40
560,77
561,36
562,72
563,7
564,60
