cID,pID
1,1
2,2
3,3
4,1
5,1
6,1
7,1
8,1
9,4
10,5
11,1
12,6
13,5
14,1
15,7
16,1
17,1
18,1
19,6
20,1
21,1
22,1
23,1
24,5
25,1
26,1
27,1
28,1
29,1
30,6
31,1
32,1
33,1
34,1
35,1
36,4
37,6
38,1
39,1
40,1
41,1
42,1
43,3
44,1
45,1
46,1
47,1
48,6
49,4
50,3
51,1
52,1
53,1
54,3
55,5
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,6
64,1
65,8
66,4
67,3
68,4
69,3
70,1
71,3
72,1
73,1
74,9
75,1
76,5
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,3
85,1
86,3
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,6
95,1
96,6
97,1
98,1
99,1
100,2
101,1
102,6
103,1
104,5
105,1
106,4
107,3
108,3
109,1
110,1
111,6
112,1
113,6
114,1
115,1
116,3
117,6
118,6
119,1
120,3
121,1
122,3
123,1
124,1
125,5
126,1
127,3
128,1
129,6
130,3
131,1
132,1
133,1
134,1
135,1
136,6
137,4
138,1
139,5
140,1
141,1
142,1
143,6
144,4
145,1
146,1
147,1
148,6
149,10
150,1
151,3
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,6
160,1
161,1
162,5
163,6
164,1
165,1
166,1
167,1
168,1
169,1
170,6
171,6
172,1
173,1
174,1
175,6
176,6
177,4
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,7
186,1
187,5
188,1
189,7
190,1
191,1
192,1
193,1
194,1
195,1
196,3
197,1
198,1
199,1
200,1
201,1
202,4
203,1
204,1
205,4
206,1
207,1
208,1
209,1
210,1
211,1
212,4
213,1
214,1
215,1
216,4
217,1
218,1
219,1
220,1
221,1
222,6
223,1
224,1
225,1
226,2
227,1
228,5
229,3
230,1
231,1
232,1
233,1
234,1
235,6
236,6
237,4
238,1
239,4
240,1
241,1
242,1
243,4
244,1
245,1
246,1
247,6
248,1
249,1
250,5
251,6
252,4
253,10
254,4
255,1
256,1
257,1
258,2
259,4
260,1
261,1
262,1
263,1
264,3
265,3
266,1
267,1
268,8
269,3
270,6
271,1
272,4
273,1
274,6
275,3
276,6
277,1
278,4
279,1
280,1
281,1
282,1
283,5
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,5
294,1
295,1
296,4
297,1
298,1
299,1
300,1
301,1
302,6
303,1
304,1
305,1
306,1
307,1
308,1
309,6
310,6
311,1
312,1
313,1
314,1
315,3
316,3
317,1
318,6
319,1
320,1
321,1
322,1
323,1
324,3
325,1
326,3
327,1
328,1
329,5
330,1
331,3
332,1
333,3
334,1
335,1
336,1
337,4
338,1
339,1
340,1
341,1
342,6
343,6
344,6
345,1
346,1
347,6
348,9
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,6
359,1
360,1
361,5
362,5
363,5
364,1
365,3
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,4
374,1
375,1
376,1
377,1
378,7
379,1
380,1
381,1
382,1
383,1
384,3
385,1
386,6
387,1
388,1
389,1
390,1
391,3
392,1
393,1
394,1
395,11
396,1
397,6
398,1
399,1
400,1
401,1
402,1
403,1
404,3
405,1
406,3
407,3
408,6
409,1
410,6
411,1
412,6
413,6
414,1
415,3
416,1
417,1
418,1
419,5
420,5
421,1
422,1
423,1
424,1
425,7
426,1
427,1
428,5
429,1
430,5
431,1
432,1
433,3
434,1
435,6
436,6
437,1
438,1
439,1
440,1
441,1
442,9
443,1
444,11
445,1
446,5
447,1
448,4
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,6
475,1
476,1
477,1
478,3
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,6
488,1
489,1
490,1
491,4
492,1
493,1
494,1
495,6
496,1
497,1
498,6
499,6
500,5
501,6
502,1
503,1
504,4
505,6
506,7
507,1
508,1
509,5
510,1
511,1
512,1
513,1
514,6
515,1
516,1
517,6
518,1
519,1
520,1
521,1
522,1
523,1
524,5
525,1
526,1
527,1
528,1
529,1
530,9
531,1
532,1
533,1
534,6
535,1
536,1
537,6
538,1
539,3
540,1
541,1
542,3
543,1
544,6
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,3
553,1
554,6
555,4
556,3
557,6
558,1
559,1
560,1
561,6
562,3
563,1
564,1
