lID,road,neighborhood,npu
1,Spring Street Northwest,Downtown,M
2,Oak Street Southwest,West End,T
3,Metropolitan Parkway Southwest,Capitol View Manor,X
4,Pryor Street,Betmar LaVilla,Y
5,John Wesley Dobbs Avenue Northeast,Old Fourth Ward,M
6,Dellwood Drive Northwest,Peachtree Battle Alliance,C
7,Myrtle Drive Southwest,Campbellton Road,R
8,Delowe Drive Southwest,Campbellton Road,R
9,Moores Mill Road,Brandon,C
10,Peachtree Street Northeast,Downtown,M
11,Euclid Avenue Northeast,Inman Park,N
12,Donald Lee Hollowell Parkway Northwest,Center Hill,J
13,Lenox Road,Lenox,B
14,Sidney Marcus Boulevard Northeast,Lindbergh/Morosgo,B
15,Ted Turner Drive Northwest,Downtown,M
16,Pryor Street Southwest,Mechanicsville,V
17,Thomasville Boulevard Southeast,Thomasville Heights,Z
18,Piedmont Road Northeast,Lindbergh/Morosgo,B
19,Hill Street Southeast,Grant Park,W
20,Marion Place Northeast,Edgewood,O
21,Lindridge Drive Northeast,Lindridge/Martin Manor,F
22,Golden Gate Drive Northwest,Brookwood,E
23,John Portman Boulevard Northwest,Downtown,M
24,Reynolds Drive Southwest,Lakewood Heights,Y
25,Peters Street Southwest,Castleberry Hill,M
26,3rd Street Northeast,Midtown,E
27,Greensferry Avenue Southwest,The Villages at Castleberry H,T
28,Hill Street Southeast,Chosewood Park,Y
29,Benteen Avenue Southeast,Boulevard Heights,W
30,North Avenue Northeast,Old Fourth Ward,M
31,Venetian Drive Southwest,Adams Park,R
32,Morgan Place Southeast,East Lake,O
33,Kennolia Drive Southwest,Westwood Terrace,I
34,Burton Road Northwest,Westhaven,I
35,Campbellton Road,Kings Forest,P
36,Tower Place Drive,North Buckhead,B
37,Arbor Gates Drive,Pine Hills,B
38,Legacy Drive Southwest,Harris Chiles,T
39,Mecaslin Street Northwest,Loring Heights,E
40,Carver Drive Northwest,Dixie Hills,J
41,Larkin Street Southwest,Atlanta University Center,T
42,Kanuga Street Northeast,Virginia Highland,F
43,Cairo Street Northwest,Bankhead,K
44,Gresham Avenue Southeast,East Atlanta,W
45,Flat Shoals Avenue Southeast,East Atlanta,W
46,Atlantic Drive Northwest,Home Park,E
47,John Portman Boulevard Northeast,Downtown,M
48,Forsyth Street Northwest,Downtown,M
49,Peachtree Road Northeast,Lenox,B
50,Woodward Way Northwest,Peachtree Battle Alliance,C
51,Parkway Drive Northeast,Old Fourth Ward,M
52,7th Street Northeast,Midtown,E
53,Juniper Street Northeast,Midtown,E
54,North Highland Avenue Northeast,Morningside/Lenox Park,F
55,Mitchell Street Southwest,Atlanta University Center,T
56,Richardson Street Southwest,Mechanicsville,V
57,Pamlico Drive Southwest,Green Forest Acres,I
58,Moreland Drive Southeast,Custer/McDonough/Guice,W
59,Jones Avenue Northwest,Grove Park,J
60,Pryor Street Southwest,Downtown,M
61,Oak Drive Southeast,Glenrose Heights,Z
62,Kimball Way Southeast,Downtown,M
63,Skylofts Atlanta,West End,T
64,Howell Mill Road Northwest,Berkeley Park,D
65,West Marietta Street Northwest,Knight Park/Howell Station,K
66,Woodland Avenue Northeast,Lindridge/Martin Manor,F
67,Pratt Street Southeast,Downtown,M
68,Arlington Avenue Southwest,Oakland City,S
69,Peachtree Road Northeast,Garden Hills,B
70,Saint Charles Place Northeast,Atkins Park,F
71,McDaniel Street Southwest,Pittsburgh,V
72,Campbellton Road Southwest,Campbellton Road,R
73,Rogers Avenue Southwest,Westview,T
74,McDaniel Street Southwest,Mechanicsville,V
75,Beckwith Street Southwest,Atlanta University Center,T
76,Adair Avenue Southeast,Lakewood Heights,Y
77,Kimberly Way Southwest,Ashley Courts,P
78,Oglethorpe Avenue Southwest,West End,T
79,Wellswood Drive Southeast,Custer/McDonough/Guice,W
80,Fern Avenue Southeast,Peoplestown,V
81,West Lake Drive Northwest,West Lake,J
82,Joseph E. Boone Boulevard Northwest,Vine City,L
83,Federal Terrace Southeast,Chosewood Park,Y
84,Donald Lee Hollowell Parkway Northwest,Bankhead,K
85,Princeton Lakes Parkway,Princeton Lakes,P
86,Downtown Connector,Downtown,M
87,Collier Drive Northwest,Fairburn Heights,H
88,North Avenue Northwest,Midtown,E
89,Western Avenue Northwest,English Avenue,L
90,Ormewood Avenue Southeast,East Atlanta,W
91,Pine Oak Drive Southwest,Westwood Terrace,I
92,Pryor Street,Downtown,M
93,Kimberly Road Southwest,Ben Hill Terrace,P
94,Dutch Valley Road Northeast,Morningside/Lenox Park,F
95,West Peachtree Street Northwest,Midtown,E
96,Bettys Alley,Castleberry Hill,M
97,Donald Lee Hollowell Parkway Northwest,Collier Heights,I
98,Memorial Drive Southeast,East Lake,O
99,Knott Street Southeast,Woodland Hills,W
100,Epworth Street Southwest,Venetian Hills,S
101,14th Street Northwest,Home Park,E
102,Baker Street Northwest,Downtown,M
103,Springlake Lane,Springlake,C
104,Monroe Drive Northeast,Midtown,E
105,Cahoon Street Southwest,Sylvan Hills,X
106,Moreland Avenue Northeast,Inman Park,N
107,Piedmont Avenue Northeast,Midtown,E
108,Sunridge Avenue Southeast,Browns Mill Park,Z
109,Elizabeth Avenue Southwest,Venetian Hills,S
110,Capitol View Avenue Northwest,Center Hill,J
111,Lee Street Southwest,Oakland City,S
112,Peachtree Center Avenue Northeast,Downtown,M
113,Eastridge Road Southwest,Venetian Hills,S
114,Bolfair Drive Northwest,Carroll Heights,H
115,Metropolitan Parkway Southwest,Sylvan Hills,X
116,Morosgo Drive Northeast,Lindbergh/Morosgo,B
117,Hall Street Northwest,Center Hill,J
118,11th Street Northeast,Midtown,E
119,Meadowridge Drive Southwest,Brentwood,P
120,Leila Lane Southeast,Leila Valley,Z
121,Forsyth Street Southwest,Downtown,M
122,18th Street Northwest,Atlantic Station,E
123,Broad Street Northwest,Downtown,M
124,Marietta Street Northwest,Marietta Street Artery,E
125,Bankhead Avenue Northwest,Marietta Street Artery,E
126,Pine Tree Drive Northeast,Garden Hills,B
127,Taft Street Southwest,Joyland,Y
128,James Wendell George Parkway,Pittsburgh,V
129,Campbellton Road Southwest,Venetian Hills,S
130,Parsons Street Southwest,Ashview Heights,T
131,Huff Road Northwest,Blandtown,D
132,North Avenue Northwest,Marietta Street Artery,E
133,Peachtree Street,Midtown,E
134,Martin Luther King Junior Drive Southwest,Old Gordon,H
135,Hollywood Road Northwest,Grove Park,J
136,Calhoun Street Northwest,Home Park,E
137,Adelle Street Southeast,Lakewood Heights,Y
138,Gun Club Road Northwest,Almond Park,G
139,Gracewood Avenue Southeast,East Atlanta,W
140,Peachtree Road,North Buckhead,B
141,Jonesboro Road Southeast,South Atlanta,Y
142,Astor Avenue Southwest,Sylvan Hills,X
143,Jackson Street Northeast,Sweet Auburn,M
144,25th Street Northwest,Brookwood,E
145,Joseph E. Boone Boulevard Northwest,Bankhead,K
146,Northside Drive Northwest,English Avenue,L
147,Creek Valley Court Southwest,Elmco Estates,P
148,Roy Street Southwest,Pittsburgh,V
149,Luckie Street Northwest,Downtown,M
150,19th Street Northwest,Atlantic Station,E
151,Peachtree Street Northeast,Midtown,E
152,East Wesley Road,Peachtree Heights East,B
153,McCallie Boulevard Northwest,West Highlands,G
154,Wilson Road Northwest,Springlake,C
155,Panther Trail Southwest,Southwest,R
156,Piedmont Avenue Northeast,Piedmont Heights,F
157,Joseph E. Lowery Boulevard,Bankhead,K
158,Martin Luther King Junior Drive Southwest,Adamsville,H
159,Alison Court Southwest,Campbellton Road,R
160,Mount Zion Road Southeast,Glenrose Heights,Z
161,Bollingbrook Drive Southwest,Beecher Hills,I
162,Old Hapeville Road Southwest,Browns Mill Park,Z
163,Martin Luther King Jr Drive Southwest,Mozley Park,K
164,Cheshire Bridge Road,Morningside/Lenox Park,F
165,14th Street Northeast,Midtown,E
166,Courtenay Drive Northeast,Morningside/Lenox Park,F
167,Fairburn Road,Adamsville,H
168,Plaza Lane Southwest,Campbellton Road,R
169,Brookline Street Southwest,Adair Park,V
170,Custer Avenue Southeast,Custer/McDonough/Guice,W
171,Monument Avenue Southeast,East Atlanta,W
172,Shelby Place Southeast,Woodland Hills,W
173,Palifox Drive Northeast,Lake Claire,N
174,Martin Luther King Junior Drive Southwest,Florida Heights,I
175,Perkerson Road Southwest,Sylvan Hills,X
176,Carroll Drive Northwest,Hills Park,D
177,Morehouse Drive Northwest,Dixie Hills,J
178,Northside Drive Northwest,Berkeley Park,D
179,Estoria Street Southeast,Cabbagetown,N
180,Crescent Avenue Northeast,Midtown,E
181,Zephyr Blvd SE,Chosewood Park,Y
182,Martin Street Southeast,Summerhill,V
183,Ponce de Leon Avenue Northeast,Midtown,E
184,village Park Lane,Ben Hill,P
185,Lenox Road Northeast,Lindridge/Martin Manor,F
186,Piedmont Road Northeast,Peachtree Park,B
187,University Avenue,Pittsburgh,V
188,Ormond Street Southeast,Peoplestown,V
189,Lenox Road,Pine Hills,B
190,Collier Ridge Drive Northwest,Collier Heights,I
191,Central Avenue Southwest,Downtown,M
192,Landrum Drive Southwest,Southwest,R
193,Oak Drive Southeast,Orchard Knob,Z
194,Macon Drive Southwest,Browns Mill Park,Z
195,Bromack Drive Southeast,Lakewood,Z
196,Harbin Road Southwest,Southwest,R
197,Ellsworth Industrial Drive Northwest,Blandtown,D
198,Walthall Street Northeast,Reynoldstown,N
199,Greenbriar Parkway Southwest,Greenbriar,R
200,White Street Southwest,West End,T
201,Abbey Rd NE,Lindbergh/Morosgo,B
202,Delaware Avenue Southeast,Ormewood Park,W
203,Dunwoody Street Northeast,Kirkwood,O
204,Meador Avenue Southeast,Swallow Circle/Baywood,Z
205,Chappell Road Northwest,Bankhead,K
206,Venable Street Northwest,Downtown,M
207,Atlanta BeltLine Southside Trail,South Atlanta,Y
208,Piedmont Avenue Northeast,Downtown,M
209,Martin Luther King Junior Drive Southwest,Downtown,M
210,Argonne Drive Northwest,Wyngate,C
211,Ivydale Drive Southwest,Campbellton Road,R
212,Venetian Drive Southwest,Venetian Hills,S
213,Oakhill Avenue Southwest,Adair Park,V
214,Grass Valley Road Southwest,Greenbriar,R
215,Peyton Road Southwest,Peyton Forest,I
216,Westhaven Drive Southwest,Cascade Avenue/Road,S
217,Melante Drive Northeast,Lindridge/Martin Manor,F
218,Alabama Street Southwest,Downtown,M
219,17th Street Northwest,Atlantic Station,E
220,Jonesboro Road Southeast,South River Gardens,Z
221,Langford Parkway,Campbellton Road,R
222,Hollywood Road Northwest,Almond Park,G
223,Woodward Avenue Southeast,Grant Park,W
224,Hamilton E Holmes Drive Northwest,Westhaven,I
225,Ponce de Leon Avenue Northeast,Poncey-Highland,N
226,Doral Court Southwest,Fairway Acres,P
227,Hillpine Drive Northeast,Morningside/Lenox Park,F
228,Hardee Street Northeast,Edgewood,O
229,I 85,Perkerson,X
230,Tiger Flowers Drive Northwest,West Lake,J
231,Hogan Road Southwest,Greenbriar,R
232,Peachtree Street Southwest,Downtown,M
233,Washington Street Southwest,Peoplestown,V
234,McWilliams Road,Browns Mill Park,Z
235,Bolton Road,Riverside,D
236,Marietta Street,Marietta Street Artery,E
237,Martin Luther King Jr Drive Southwest,Ashview Heights,T
238,County Line Road Southwest,Elmco Estates,P
239,17th Street Northwest,Loring Heights,E
240,Trinity Avenue Southwest,Downtown,M
241,Ira Street Southwest,Mechanicsville,V
242,West Peek Road Northwest,Collier Heights,I
243,North Highland Avenue Northeast,Inman Park,N
244,Sewanee Avenue Northwest,Dixie Hills,J
245,Paines Avenue Northwest,English Avenue,L
246,Argonne Avenue Northeast,Midtown,E
247,Continental Colony Parkway Southwest,Greenbriar,R
248,Browns Mill Road Southeast,Lakewood,Z
